#Alamein Line - To Alamein,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,
#station,Parliament,Melbourne Central,Flagstaff,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Flagstaff,Melbourne Central,Parliament,Richmond,East Richmond,Burnley,Hawthorn,Glenferrie,Auburn,Camberwell,Riversdale,Willison,Hartwell,Burwood,Asburton,Alamein
t46,-,-,-,-,-,9:26,,,,,9:29,|,|,|,9:34,|,9:38,-,-,-,-,-,-
t47,9:18,9:20,9:21,9:23,9:28,9:31,,,,,9:34,9:36,9:38,9:40,9:42,9:44,9:46,-,-,-,-,-,-
t48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9:50,9:53,9:54,9:56,9:57,9:59,10:01
t49,9:25,9:27,9:29,9:31,9:35,9:40,,,,,9:43,|,|,|,9:48,|,9:52,-,-,-,-,-,-
t50,9:27,9:29,9:31,9:33,9:37,9:44,,,,,9:47,9:49,9:51,9:53,9:55,9:57,9:59,-,-,-,-,-,-
t51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10:02,10:05,10:06,10:08,10:09,10:11,10:13
t52,-,-,-,-,-,9:56,,,,,9:59,|,|,|,10:04,|,10:08,-,-,-,-,-,-
t53,-,-,-,-,-,9:58,,,,,10:01,10:03,10:05,10:07,10:09,10:11,10:13,-,-,-,-,-,-
t54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10:17,10:20,10:21,10:23,10:24,10:26,10:28
t55,-,-,-,-,-,10:11,,,,,10:14,|,|,|,10:19,|,10:23,-,-,-,-,-,-
t56,-,-,-,-,-,10:13,,,,,10:16,10:18,10:20,10:22,10:24,10:26,10:28,-,-,-,-,-,-
t57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10:32,10:35,10:36,10:38,10:39,10:41,10:43
t58,-,-,-,-,-,10:26,,,,,10:29,|,|,|,10:34,|,10:38,-,-,-,-,-,-
t59,10:15,10:17,10:18,10:20,10:24,10:28,,,,,10:31,10:33,10:35,10:37,10:39,10:41,10:43,-,-,-,-,-,-
t60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10:47,10:50,10:51,10:53,10:54,10:56,10:58
t61,10:27,10:29,10:30,10:32,10:36,10:41,,,,,10:44,|,|,|,10:49,|,10:53,-,-,-,-,-,-
t62,10:31,10:33,10:34,10:36,10:40,10:43,,,,,10:46,10:48,10:50,10:52,10:54,10:56,10:58,-,-,-,-,-,-
t63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11:02,11:05,11:06,11:08,11:09,11:11,11:13
t64,10:40,10:42,10:43,10:45,10:49,10:56,,,,,10:59,|,|,|,11:04,|,11:08,-,-,-,-,-,-
t65,10:42,10:44,10:45,10:47,10:51,10:58,,,,,11:01,11:03,11:05,11:07,11:09,11:11,11:13,-,-,-,-,-,-
t66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11:17,11:20,11:21,11:23,11:24,11:26,11:28
t67,10:57,10:59,11:00,11:02,11:06,11:11,,,,,11:14,|,|,|,11:19,|,11:23,-,-,-,-,-,-
t68,-,-,-,-,-,11:13,,,,,11:16,11:18,11:20,11:22,11:24,11:26,11:28,-,-,-,-,-,-
t69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11:32,11:35,11:36,11:38,11:39,11:41,11:43
t70,-,-,-,-,-,11:26,,,,,11:29,|,|,|,11:34,|,11:38,-,-,-,-,-,-
t71,-,-,-,-,-,11:28,,,,,11:31,11:33,11:35,11:37,11:39,11:41,11:43,-,-,-,-,-,-
t72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11:47,11:50,11:51,11:53,11:54,11:56,11:58
t73,11:27,11:29,11:30,11:32,11:36,11:41,,,,,11:44,|,|,|,11:49,|,11:53,-,-,-,-,-,-
t74,-,-,-,-,-,11:43,,,,,11:46,11:48,11:50,11:52,11:54,11:56,11:58,-,-,-,-,-,-
t75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12:02,12:05,12:06,12:08,12:09,12:11,12:13
t76,-,-,-,-,-,11:56,,,,,11:59,|,|,|,12:04,|,12:08,-,-,-,-,-,-
t77,-,-,-,-,-,11:58,,,,,12:01,12:03,12:05,12:07,12:09,12:11,12:13,-,-,-,-,-,-
t78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12:17,12:20,12:21,12:23,12:24,12:26,12:28
t79,-,-,-,-,-,12:11,,,,,12:14,|,|,|,12:19,|,12:23,-,-,-,-,-,-
t80,-,-,-,-,-,12:13,,,,,12:16,12:18,12:20,12:22,12:24,12:26,12:28,-,-,-,-,-,-
t81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12:32,12:35,12:36,12:38,12:39,12:41,12:43
t82,-,-,-,-,-,12:26,,,,,12:29,|,|,|,12:34,|,12:38,-,-,-,-,-,-
t83,-,-,-,-,-,12:35,,,,,12:38,|,12:41,12:43,12:45,12:47,12:49,-,-,-,-,-,-
t84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12:52,12:55,12:56,12:58,12:59,13:01,13:03
t85,12:27,12:29,12:30,12:32,12:37,12:50,,,,,12:53,|,12:56,12:58,13:00,13:02,13:04,-,-,-,-,-,-
