#Sunbury Line - To Sunbury,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Southern Cross,Flagstaff,Melbourne Central,Parliament,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Parliament,Melbourne Central,Flagstaff,North Melbourne,South Kensington,Footscray,Middle Footscray,West Footscray,Tottenham,Sunshine,Albion,Ginifer,St Albans,Keilor Plains,Watergardens,Diggers Rest,Sunbury
t45,-,-,-,-,-,8:09,8:13,,,,8:16,8:19,8:22,-,-,-,-,-,-,-,-,-,-,-
t46,-,-,-,-,-,8:16,8:19,,,,8:22,8:25,8:28,-,-,-,-,-,-,-,-,-,-,-
t47,-,8:16,8:18,8:20,8:23,8:23,8:27,,,,8:31,|,8:35,8:37,8:38,8:41,8:44,8:47,8:50,8:52,8:55,8:59,9:06,9:12
t48,-,-,-,-,-,8:25,8:29,,,,8:32,8:35,8:38,-,-,-,-,-,-,-,-,-,-,-
t49,-,-,-,-,-,8:30,8:33,,,,8:36,8:39,8:42,-,-,-,-,-,-,-,-,-,-,-
t50,-,-,-,-,-,8:33,8:36,,,,8:39,8:42,8:45,-,-,-,-,-,-,-,-,-,-,-
t51,-,-,-,-,-,8:35,8:39,,,,8:43,|,8:47,8:49,8:50,8:53,8:56,8:59,9:02,9:04,9:07,9:11,9:18,9:24
t52,-,-,-,-,-,8:36,8:39,,,,8:42,8:45,8:48,-,-,-,-,-,-,-,-,-,-,-
t53,-,-,-,-,-,8:39,8:42,,,,8:45,8:48,8:51,-,-,-,-,-,-,-,-,-,-,-
t54,-,8:34,8:36,8:38,8:41,8:41,8:45,,,,8:49,|,8:53,8:55,8:56,8:59,9:02,9:05,9:08,9:10,9:13,9:17,-,-
t55,-,-,-,-,-,8:50,8:53,,,,8:56,8:59,9:02,-,-,-,-,-,-,-,-,-,-,-
t56,-,8:46,8:48,8:50,8:53,8:53,8:57,,,,9:01,|,9:05,9:07,9:08,9:11,9:14,9:17,9:20,9:22,9:25,9:29,-,-
t57,-,-,-,-,-,8:59,9:02,,,,9:05,9:09,9:12,-,-,-,-,-,-,-,-,-,-,-
t58,-,8:52,8:54,8:56,8:59,8:59,9:03,,,,9:07,|,9:11,9:13,9:14,9:17,9:20,9:23,9:26,9:28,9:31,9:35,9:42,9:48
t59,-,-,-,-,-,9:10,9:13,,,,9:16,9:19,9:22,-,-,-,-,-,-,-,-,-,-,-
t60,-,9:04,9:06,9:08,9:11,9:11,9:15,,,,9:19,|,9:23,9:25,9:26,9:29,9:32,9:35,9:38,9:40,9:43,9:47,9:54,10:00
t61,-,9:10,9:12,9:14,9:17,9:17,9:21,,,,9:25,|,9:29,9:31,9:32,9:35,9:38,9:41,9:44,9:46,9:49,9:53,-,-
t62,-,-,-,-,-,9:21,9:24,,,,9:27,9:30,9:33,-,-,-,-,-,-,-,-,-,-,-
t63,-,9:22,9:24,9:26,9:29,9:29,9:33,,,,9:37,|,9:41,9:43,9:44,9:47,9:50,9:53,9:56,9:58,10:01,10:05,-,-
t64,-,-,-,-,-,9:31,9:34,,,,9:37,9:40,9:43,-,-,-,-,-,-,-,-,-,-,-
t65,-,9:28,9:30,9:32,9:35,9:39,9:42,,,,9:46,|,9:50,9:52,9:53,9:56,9:59,10:02,10:05,10:07,10:10,10:14,10:21,10:27
t66,-,-,-,-,-,9:41,9:44,,,,9:47,9:50,9:53,-,-,-,-,-,-,-,-,-,-,-
t67,-,-,-,-,-,9:51,9:54,,,,9:57,10:00,10:03,-,-,-,-,-,-,-,-,-,-,-
t68,-,9:48,9:50,9:52,9:55,9:59,10:02,,,,10:06,|,10:10,10:12,10:13,10:16,10:19,10:22,10:25,10:27,10:30,10:34,-,-
t69,-,-,-,-,-,10:01,10:04,,,,10:07,10:10,10:13,-,-,-,-,-,-,-,-,-,-,-
