#Sunbury Line - To City,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Sunbury,Diggers Rest,Watergardens,Keilor Plains,St Albans,Ginifer,Albion,Sunshine,Tottenham,West Footscray,Middle Footscray,Footscray,South Kensington,North Melbourne,Flagstaff,Melbourne Central,Parliament,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Parliament,Melbourne Central,Flagstaff,Southern Cross
t163,-,-,-,-,-,-,-,-,-,-,-,18:59,19:02,19:05,Ê,Ê,Ê,19:08,19:12,-,-,-,-,-
t164,-,-,-,-,-,-,-,-,-,-,-,19:04,|,19:10,Ê,Ê,Ê,19:13,19:18,-,-,-,-,-
t165,-,-,-,-,-,-,-,-,-,-,-,19:09,|,19:15,Ê,Ê,Ê,19:18,19:22,-,-,-,-,-
t166,-,-,18:51,18:54,18:57,18:59,19:02,19:04,19:08,19:10,19:12,19:14,|,19:19,Ê,Ê,Ê,19:22,19:26,-,-,-,-,-
t167,-,-,-,-,-,-,-,-,-,-,-,19:20,19:23,19:26,Ê,Ê,Ê,19:29,19:33,-,-,-,-,-
t168,-,-,-,-,-,-,-,-,-,-,-,19:32,19:35,19:38,Ê,Ê,Ê,19:41,19:45,-,-,-,-,-
t169,19:00,19:04,19:11,19:14,19:17,19:19,19:22,19:24,19:28,19:30,19:32,19:34,|,19:39,Ê,Ê,Ê,19:42,19:46,-,-,-,-,-
t170,-,-,-,-,-,-,-,-,-,-,-,19:42,|,19:48,Ê,Ê,Ê,19:51,19:55,-,-,-,-,-
t171,-,-,-,-,-,-,-,-,-,-,-,19:49,19:52,19:55,Ê,Ê,Ê,19:58,20:02,-,-,-,-,-
t172,-,-,19:41,19:44,19:47,19:49,19:52,19:54,19:58,20:00,20:02,20:04,|,20:09,Ê,Ê,Ê,20:12,20:16,-,-,-,-,-
t173,-,-,-,-,-,-,-,-,-,-,-,20:09,20:12,20:15,Ê,Ê,Ê,20:18,20:22,-,-,-,-,-
t174,-,-,-,-,-,-,-,-,-,-,-,20:29,20:32,20:35,Ê,Ê,Ê,20:38,20:42,-,-,-,-,-
t175,20:00,20:04,20:11,20:14,20:17,20:19,20:22,20:24,20:28,20:30,20:32,20:34,|,20:39,Ê,Ê,Ê,20:42,20:46,20:58,21:00,21:02,21:03,-
t176,-,-,-,-,-,-,-,-,-,-,-,20:49,20:52,20:55,Ê,Ê,Ê,20:58,21:02,-,-,-,-,-
t177,-,-,20:41,20:44,20:47,20:49,20:52,20:54,20:58,21:00,21:02,21:04,|,21:09,Ê,Ê,Ê,21:12,21:16,21:28,21:30,21:32,21:33,-
t178,-,-,-,-,-,-,-,-,-,-,-,21:09,21:12,21:15,Ê,Ê,Ê,21:18,21:22,-,-,-,-,-
t179,-,-,-,-,-,-,-,-,-,-,-,21:32,21:35,21:38,Ê,Ê,Ê,21:41,21:45,-,-,-,-,-
t180,21:00,21:04,21:11,21:14,21:17,21:19,21:22,21:24,21:28,21:30,21:32,21:34,|,21:39,Ê,Ê,Ê,21:42,21:46,-,-,-,-,-
t181,-,-,-,-,-,-,-,-,-,-,-,21:51,21:54,21:57,Ê,Ê,Ê,22:00,22:04,-,-,-,-,-
t182,-,-,21:41,21:44,21:47,21:49,21:52,21:54,21:58,22:00,22:02,22:04,|,22:09,Ê,Ê,Ê,22:12,22:16,22:28,22:30,22:32,22:33,-
t183,-,-,-,-,-,-,-,-,-,-,-,22:11,22:14,22:17,Ê,Ê,Ê,22:20,22:24,-,-,-,-,-
t184,-,-,-,-,-,-,-,-,-,-,-,22:30,22:33,22:36,Ê,Ê,Ê,22:39,22:43,-,-,-,-,-
t185,22:05,22:09,22:16,22:19,22:22,22:24,22:27,22:29,22:33,22:35,22:37,22:39,|,22:44,Ê,Ê,Ê,22:47,22:51,-,-,-,-,-
t186,-,-,-,-,-,-,-,-,-,-,-,22:58,23:01,23:04,Ê,Ê,Ê,23:07,23:11,-,-,-,-,-
t187,-,-,22:41,22:44,22:47,22:49,22:52,22:54,22:58,23:00,23:02,23:04,|,23:09,Ê,Ê,Ê,23:12,23:16,-,-,-,-,-
t188,-,-,-,-,-,-,-,-,-,-,-,23:28,23:31,23:34,Ê,Ê,Ê,23:37,23:41,-,-,-,-,-
t189,23:00,23:04,23:11,23:14,23:17,23:19,23:22,23:24,23:28,23:30,23:32,23:34,|,23:39,Ê,Ê,Ê,23:42,23:46,23:58,0:00,0:02,0:03,-
t190,-,-,-,-,-,-,-,-,-,-,-,23:58,0:01,0:04,Ê,Ê,Ê,0:07,0:11,-,-,-,-,-
t191,23:30,23:34,23:41,23:44,23:47,23:49,23:52,23:54,23:58,0:00,0:02,0:04,|,0:09,Ê,Ê,Ê,0:12,0:16,0:28,0:30,0:32,0:33,-
