#Belgrave Line - To City,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Belgrave,Tecoma,Upwey,Upper Ferntree Gully (ARR),Upper Ferntree Gully (DEP),Ferntree Gully,Boronia,Bayswater,Heathmont,Ringwood,Heatherdale,Mitcham,Nunawading,Blackburn,Laburnum,Box Hill,Mont Albert,Surrey Hills,Chatham,Canterbury,East Camberwell,Camberwell,Auburn,Glenferrie
t170,21:09,21:11,21:13,21:17,21:19,21:22,21:24,21:27,21:31,21:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21:38,|,|
t172,-,-,-,-,-,-,-,-,-,21:36,21:38,21:40,21:43,21:46,21:48,21:51,21:53,21:54,21:56,21:58,22:00,22:02,22:04,22:06
t173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:08,|,|
t174,21:41,21:43,21:45,21:49,21:51,21:54,21:56,21:59,22:03,22:06,22:08,22:10,22:13,22:16,22:18,22:21,22:23,22:24,22:26,22:28,22:30,22:32,22:34,22:36
t175,22:09,22:11,22:13,22:17,22:19,22:22,22:24,22:27,22:31,22:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:38,|,|
t177,-,-,-,-,-,-,-,-,-,22:36,22:38,22:40,22:43,22:46,22:48,22:51,22:53,22:54,22:56,22:58,23:00,23:02,23:04,23:06
t178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23:08,|,|
t179,22:41,22:43,22:45,22:49,22:51,22:54,22:56,22:59,23:03,23:06,23:08,23:10,23:13,23:16,23:18,23:21,23:23,23:24,23:26,23:28,23:30,23:32,23:34,23:36
t180,23:09,23:11,23:13,23:17,23:19,23:22,23:24,23:27,23:31,23:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23:38,|,|
t182,-,-,-,-,-,-,-,-,-,23:36,23:38,23:40,23:43,23:46,23:48,23:51,23:53,23:54,23:56,23:58,0:00,0:02,0:04,0:06
t183,23:25,23:27,23:29,23:33,23:33,23:36,23:38,23:41,23:45,23:48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0:08,|,|
t185,0:09,0:11,0:13,0:17,0:17,0:20,0:22,0:25,0:29,0:32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t186,-,-,-,-,-,20:20,20:23,,,,20:26,|,20:31,-,-,-,-,-,-,-,-,-,-,-
t187,-,-,-,-,-,20:28,,20:30,20:32,20:34,20:37,|,20:41,20:43,20:44,20:47,20:50,20:53,20:56,20:58,21:01,21:05,21:12,21:18
t188,-,-,-,-,-,20:40,20:43,,,,20:46,20:49,20:52,-,-,-,-,-,-,-,-,-,-,-
t189,20:42,,,,20:46,20:58,,21:00,21:02,21:04,21:07,|,21:11,21:13,21:14,21:17,21:20,21:23,21:26,21:28,21:31,21:35,-,-
t190,-,-,-,-,-,21:00,21:03,,,,21:06,21:09,21:12,-,-,-,-,-,-,-,-,-,-,-
t191,-,-,-,-,-,21:20,21:23,,,,21:26,21:29,21:32,-,-,-,-,-,-,-,-,-,-,-
t192,21:12,,,,21:16,21:28,,21:30,21:32,21:34,21:37,|,21:41,21:43,21:44,21:47,21:50,21:53,21:56,21:58,22:01,22:05,22:12,22:18
t193,-,-,-,-,-,21:40,21:43,,,,21:46,21:49,21:52,-,-,-,-,-,-,-,-,-,-,-
t194,-,-,-,-,-,21:58,,22:00,22:02,22:04,22:07,|,22:11,22:13,22:14,22:17,22:20,22:23,22:26,22:28,22:31,22:35,-,-
t195,-,-,-,-,-,22:00,22:03,,,,22:06,22:09,22:12,-,-,-,-,-,-,-,-,-,-,-
t196,22:12,,,,22:16,22:28,,22:30,22:32,22:34,22:37,|,22:41,22:43,22:44,22:47,22:50,22:53,22:56,22:58,23:01,23:05,23:12,23:18
t197,-,-,-,-,-,22:30,22:33,,,,22:36,22:39,22:42,-,-,-,-,-,-,-,-,-,-,-
t198,-,-,-,-,-,22:58,,23:00,23:02,23:04,23:07,|,23:11,23:13,23:14,23:17,23:20,23:23,23:26,23:28,23:31,23:35,-,-
t199,-,-,-,-,-,23:00,23:03,,,,23:06,23:09,23:12,-,-,-,-,-,-,-,-,-,-,-
t200,-,-,-,-,-,23:28,,23:30,23:32,23:34,23:37,|,23:41,23:43,23:44,23:47,23:50,23:53,23:56,23:58,0:01,0:05,0:12,0:18
t201,-,-,-,-,-,23:30,23:33,,,,23:36,23:39,23:42,-,-,-,-,-,-,-,-,-,-,-
t202,23:42,,,,23:46,23:58,,0:00,0:02,0:04,0:07,|,0:11,0:13,0:14,0:17,0:20,0:23,0:26,0:28,0:31,0:35,-,-
t203,-,-,-,-,-,0:10,0:13,,,,0:16,0:19,0:22,-,-,-,-,-,-,-,-,-,-,-
t204,0:12,,,,0:16,0:28,,0:30,0:32,0:34,0:37,|,0:41,0:43,0:44,0:47,0:50,0:53,0:56,0:58,1:01,1:05,1:12,1:18
